command,type,verification_status,source
*ARGV,action,extracted,AREG_UserManual_en_08.pdf#page=359
*CLS,action,pending-review,"AREG_UserManual_en_08.pdf, AREG_UserManual_en_08.pdf#page=298, AREG_UserManual_en_08.pdf#page=339, AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=583, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=26, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=35, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=37, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=38"
*COMMAND,action,extracted,AREG_UserManual_en_08.pdf#page=359
*ESE,action,extracted,"AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=583, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=14, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=30, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=31, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=36, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=38, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=39"
*ESE?,query,extracted,Remote_Control_SCPI_GettingStarted_en_04.pdf#page=30
*ESR?,query,extracted,"AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=364, AREG_UserManual_en_08.pdf#page=583, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=14, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=27, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=30, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=32, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=39"
*IDN,action,extracted,"AREG_UserManual_en_08.pdf#page=306, AREG_UserManual_en_08.pdf#page=339, AREG_UserManual_en_08.pdf#page=422, AREG_UserManual_en_08.pdf#page=423"
*INIT,action,extracted,Remote_Control_SCPI_GettingStarted_en_04.pdf#page=31
*IST?,query,extracted,"AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=364, AREG_UserManual_en_08.pdf#page=583, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=29, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=31, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=32"
*NONSENSE?,query,extracted,Remote_Control_SCPI_GettingStarted_en_04.pdf#page=38
*OPC,action,extracted,"AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=364, AREG_UserManual_en_08.pdf#page=367, AREG_UserManual_en_08.pdf#page=584, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=29, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=31, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=35, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=36, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=39, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=42"
*OPC?,query,pending-review,"AREG_UserManual_en_08.pdf, AREG_UserManual_en_08.pdf#page=359, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=35, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=36, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=37, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=38, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=39, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=42"
*OPT,action,extracted,"AREG_UserManual_en_08.pdf#page=306, AREG_UserManual_en_08.pdf#page=422, AREG_UserManual_en_08.pdf#page=423"
*OPT?,query,extracted,"AREG_UserManual_en_08.pdf#page=306, AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=364, AREG_UserManual_en_08.pdf#page=423, AREG_UserManual_en_08.pdf#page=549, AREG_UserManual_en_08.pdf#page=584"
*PRE,action,extracted,"AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=365, AREG_UserManual_en_08.pdf#page=584, Remote_Control_SCPI_GettingStarted_en_04.pdf#page=29"
*PRE?,query,extracted,Remote_Control_SCPI_GettingStarted_en_04.pdf#page=29
*PSC,action,extracted,"AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=365, AREG_UserManual_en_08.pdf#page=584"
*RCL,action,extracted,"AREG_UserManual_en_08.pdf#page=225, AREG_UserManual_en_08.pdf#page=363, AREG_UserManual_en_08.pdf#page=365, AREG_UserManual_en_08.pdf#page=366, AREG_UserManual_en_08.pdf#page=397, AREG_UserManual_en_08.pdf#page=398, AREG_UserManual_en_08.pdf#page=402, AREG_UserManual_en_08.pdf#page=444, AREG_UserManual_en_08.pdf#page=584"
